 	1	2	3	4	5	6	7	8	9	10	11	12
A	36956940.61	17282407.02	35928772.97	3974312.07	1280087.96	1222523.84	6160049.05	50967316.94	3831663.91	2106448.27	2481624.3	10611253.47
B	7732364.67	6069801.11	6549962.9	4480581.75	1109770.54	1006795.33	11678458.36	7774963.33	2233017.66	4922438.03	3709342.81	12462928.85
C	11655819.64	10063420.25	11834306.43	5757956.66	8338180.23	9546286.58	8098820.74	14640984.5	15277054.86	17171847.61	11931124.89	3863832.59
D	12638639.26	12489177.68	11285099.03	6643667.73	7467889.38	14232562.56	10813287.95	9587183.82	21082324.54	17918867.99	28496774.76	8294884.17
E	9025349.43	11802551.33	8066449.89	3881535.8	7827926.14	9881031.43	7946406.65	8617739.49	14160029.7	17632225.5	33086898.12	4228060.22
F	12954008.07	11369152.86	9266713.72	3725649.58	8833047.74	10887231.49	9430776.95	9050607.66	19207447.47	19094483.25	34161571.0	5858544.77
G	17045808.78	15265808.14	14970520.94	7962118.5	14253619.66	21545516.94	19441468.48	16967045.73	20943902.17	24112998.77	24975735.2	3498256.27
H	16072335.04	15360764.82	14797072.72	11159404.74	19495631.75	19162118.89	20945869.32	15958560.06	25649669.93	24611751.54	23272522.19	4476821.38
I	33530696.78	49140423.07	83472595.72	215804697.4	53801738.58	17056554.17	18083302.94	16727948.51	19691933.77	27252405.41	21511588.19	6589097.7
J	31932839.35	32579473.6	42052697.57	48114831.74	37190933.16	12614782.5	14333546.12	16512418.99	21973782.68	23680194.11	35350514.56	23461760.33
K	18722671.4	18637350.71	19389473.65	11461060.51	17559515.56	15090871.1	29754846.12	26036033.79	21228413.51	27608158.66	14237152.64	15550710.94
L	16425502.42	15465877.68	14037564.36	6074494.9	10940405.2	15073646.05	19505755.2	21203865.18	22729254.65	20442724.81	30934138.53	19323017.96
M	14661242.63	14428343.84	12691203.49	5831089.37	18814641.85	14904540.02	22712963.87	18202320.22	14293722.16	20188548.68	37451030.67	26859854.65
N	15299244.7	13096420.82	12084989.59	5226759.0	12265454.88	21658260.47	19489504.54	23256988.86	16665366.12	20257917.77	42418857.15	30859064.88
O	13864672.46	14992194.8	12624335.52	5136522.31	17542708.28	25689025.86	16070322.75	15581870.89	20656217.74	22436272.95	29931818.15	23952723.81
P	13753093.67	13348876.99	10572809.94	5296427.19	22235550.61	24066839.0	17635231.79	19694247.61	19257385.78	22629345.16	29636427.66	19477236.67
Q	15086343.79	12821116.51	10564597.91	4584517.24	13292245.57	19647434.2	16950848.87	16552066.31	16934688.96	17604820.75	24287446.13	21151266.0
R	13445140.18	12430407.12	10777565.17	4371777.02	14945606.42	13266340.13	16689925.27	14583624.91	16021685.46	18731378.86	24828995.06	15601635.94
S	16042087.38	15293167.95	18245472.65	12484017.06	17992847.9	17147022.53	17200859.39	17350653.78	24870283.92	34812257.82	20778230.15	26262209.71
T	15754107.23	18030869.19	25169543.85	23179723.24	26018351.82	22371690.57	25376557.2	35156494.83	40464567.98	54822840.89	44894619.41	18713341.21
U	18185253.72	16506702.39	14387286.98	6687892.8	11997942.87	17640450.37	17298415.99	17511437.29	18036099.37	21149077.22	44219388.12	10643511.33
V	19004375.09	18216562.21	13874696.31	5919898.45	11772654.46	12992164.79	17848077.34	13551969.6	15269585.74	19680057.24	50385021.96	21733446.16
W	21834135.93	21228877.56	18214316.5	8062092.66	9997738.75	17951812.57	29630338.23	22433938.12	20665597.17	24162748.52	44137770.36	23307545.77
X	17381301.39	17241180.03	17182420.56	6916930.28	16572451.16	3434084.94	19865766.16	18964632.27	25805098.94	33648658.21	49026791.3	21933764.09
