 	1	2	3	4	5	6	7	8	9	10
A	25904959.94	4458500.79	22286204.73	70486988.7	65709997.1	98193055.62	61221692.1	4894953.07	1643795.29	4160982.98
B	2586965.27	2902747.91	6842786.89	8589783.59	13262464.82	11820729.7	8912154.07	7386703.55	2888134.52	21196674.18
C	9853085.01	12359033.7	11773698.95	8723376.38	6334127.36	4097628.77	7546645.75	6605475.4	19353736.11	20533225.47
D	9859262.83	10125235.89	8145779.32	7431304.69	5896771.34	4367617.76	6820742.06	8486731.28	9040061.82	21470032.73
E	7923021.87	8928790.05	5897232.31	4773339.53	3824737.97	3298131.11	10868116.1	14395795.32	12677376.29	19077962.85
F	9415560.35	7796079.44	5546752.47	5011568.78	14434651.64	3207400.14	12312665.71	31278507.35	12221893.68	20431275.45
G	10387653.96	8550362.99	8394577.95	8045709.13	45219029.7	4188943.18	12871755.69	9393296.78	10086536.28	15267011.8
H	7457147.65	8159029.32	7240491.69	7602629.23	6748349.19	5629785.16	12948950.12	9330597.99	9587170.14	14623583.84
I	11080027.21	10195296.97	9205838.64	7834859.28	6122966.99	5481700.27	15876674.77	10386932.63	11373588.92	20462560.05
J	11236360.52	9638211.51	7204145.78	7908152.54	4629168.25	3941900.27	7797283.24	6703590.51	7649750.44	12319349.72
K	13864081.76	12409328.49	10546882.85	11657868.41	18382824.42	5702488.04	14546571.4	11572674.73	12896361.63	16366634.39
L	19048194.76	17877661.16	15634078.24	13256667.27	11610421.35	5618953.16	15002177.04	19084799.93	33531213.17	23664447.34
M	12452896.03	13535328.1	14168416.11	10785017.68	15187156.96	15045300.86	14179233.93	11161329.44	23359747.77	24455163.75
N	12934693.65	12454058.84	11375213.68	10418706.76	8091053.72	7471728.2	10077618.38	13767871.07	15012292.63	20742040.14
O	10575258.1	11919693.42	9115576.01	9191963.09	6290734.24	17109452.52	10705663.97	11068482.27	10349862.36	15974418.85
P	9438725.93	10489430.3	7898681.94	7497764.64	6613872.42	21077006.72	6958564.83	12770282.55	8697843.62	12520607.26
Q	8738261.25	9472886.39	7695305.29	8014880.7	6154033.32	12947148.9	5557443.8	8840629.08	8539780.36	14059839.14
R	9665637.36	8603184.88	6613931.82	6131676.41	5600321.66	15031400.94	6129592.56	7984685.01	9391377.81	15624849.96
S	10318752.13	8412471.58	6646720.15	7798321.53	30089478.58	16489867.75	9431823.36	7932930.33	9155095.28	18357104.56
T	30521699.42	25314416.84	14446658.15	14778250.14	32796142.22	40545917.55	16067014.71	14524667.6	12706728.52	24495307.92
U	17676393.47	13183769.55	10003957.12	11964553.83	19755482.88	11118553.36	15938578.4	13753593.64	16302811.15	25039043.4
V	11177569.35	10744864.28	8059695.09	8342056.56	7589334.79	5769390.04	10661102.26	9782233.08	12414884.37	18250004.29
W	12572929.1	12786073.21	9781213.9	15092522.95	14133725.08	3989507.74	15104428.78	13832802.43	13119569.27	25092172.43
X	9010435.93	11403812.04	8794444.47	7597645.37	4707469.27	3297604.9	6762933.87	10342700.31	14315586.33	23823794.85
