 	1	2	3	4	5	6	7	8	9	10	11	12
A	793542.93	603445.39	648194.85	86077.67	224843.36	915781.43	536995.05	188494.04	74993.63	412824.53	93758.71	367903.63
B	165862.11	137341.42	104779.39	84793.77	103113.00	50804.09	84775.28	87436.19	152313.00	406535.12	123455.06	473454.08
C	586888.48	372386.90	463424.67	322986.75	257398.95	345586.86	238429.80	379772.59	260453.18	374902.83	527750.15	586821.76
D	659704.08	506956.13	492972.31	315120.10	211625.51	269881.21	313138.24	412874.87	316325.25	409432.71	650178.13	575498.49
E	538192.37	592850.06	454390.87	336956.04	392306.86	66215.09	325290.84	95585.41	473731.54	521010.08	760442.61	486530.90
F	613349.15	628564.85	417991.47	335288.93	414112.08	72293.41	272730.20	106940.74	562149.65	570921.31	757271.06	478949.10
G	650279.79	601153.17	656718.52	593357.42	711110.37	131507.56	694915.35	223163.54	824841.30	669171.38	234226.86	410848.05
H	584944.35	544546.29	591588.00	503878.31	778999.41	160952.53	898123.11	238959.57	812163.43	701926.36	906015.49	172787.59
I	813722.79	736555.19	715740.58	638570.11	1093897.85	154803.89	1534047.14	1400933.00	917903.97	1015746.58	154549.99	63085.50
J	884192.70	789043.74	604604.25	484977.47	953012.22	171647.24	1744810.86	8769663.30	1659742.74	1006834.62	807797.95	112311.10
K	636894.80	619919.12	688370.78	615061.73	656620.03	123348.28	884830.91	1795748.99	891688.97	783359.31	454620.62	99593.98
L	587403.57	580596.15	488698.26	498524.98	556071.97	103814.50	434442.87	196591.84	821636.77	819119.05	501093.77	238732.71
M	482731.13	506207.97	536416.10	450155.52	637922.28	80975.52	522204.71	138053.46	564789.94	675458.67	609330.28	291359.94
N	451835.66	399351.35	398731.28	369477.40	385644.96	73458.49	354195.20	128114.52	554867.26	649997.27	629098.58	425282.41
O	394489.29	509840.12	552942.41	539438.12	690145.04	102086.57	594917.24	149470.18	699261.49	696884.23	805780.45	479607.61
P	325237.42	428794.09	444628.66	471305.22	419518.19	99551.51	481954.27	139726.67	605254.08	614451.45	955457.02	435965.45
Q	357625.01	322240.38	362759.51	356880.13	208908.51	85738.04	373247.42	124775.20	514074.64	652008.28	5557027.91	340611.26
R	471120.03	371289.71	383964.61	412336.27	323311.18	116200.97	391995.30	130718.60	466169.70	527393.55	1097753.03	703962.60
S	787605.40	921455.51	719182.04	974446.08	725982.93	786674.06	577471.66	436528.96	657150.51	1107855.94	195641.81	108934.46
T	894630.50	910789.59	739662.41	991528.17	943627.32	1150600.43	711723.42	845051.74	729825.18	1711113.78	688688.84	635952.74
U	696218.26	621944.43	660751.14	835718.40	674196.44	191655.39	610164.39	207663.07	677261.99	648026.05	429914.39	456135.18
V	624754.14	610808.81	592509.51	623734.41	662934.01	144016.13	535863.40	187766.61	569562.15	610935.75	510883.35	480199.99
W	667476.18	669530.06	872960.55	549893.06	1185019.54	682246.65	335983.93	234337.38	735241.60	579895.27	596761.83	461030.01
X	711319.07	589205.14	870680.30	1122694.67	1165747.25	7447049.74	231114.41	254621.78	612016.24	641899.90	537501.11	442608.28
