	1	2	3	4	5	6	7	8	9	10	11	12
A	635378.09	148498.79	575911.32	61346.72	39998.35	44111.4	46733.27	42553.94	61967.3	834348.64	109387.74	386361.42
B	69996.09	80400.6	99598.59	85727.78	62874.85	93127.81	51514.97	54505.99	87904.78	673811.11	88089.78	356296.18
C	543475.71	904941.78	889863.03	1491995.45	1000236.25	3224883.34	286795.75	831147.88	782963.82	1026745.68	173148.99	283942.99
D	621467.02	1017277.52	1026764.57	1549680.43	357085.89	751469.08	162477.37	606716.01	1224933.23	1660998.29	521164.47	389353.9
E	716059.02	787540.16	766368.54	1264869.76	516369.02	919622.86	197426.98	3445539.61	686743.48	1053144.06	293389.08	493026.86
F	836597.9	786699.48	773915.48	1196025.88	485234.69	223543.14	140185.65	1172764.97	653679.15	999265.72	234871.92	464379.72
G	423324.48	479938.59	463347.09	518598.42	424129.57	171571.86	139399.87	226584.08	364507.59	473957.78	135825.82	414120.39
H	338876.05	362893.01	383637.25	357394.19	362257.89	330677.63	158684.71	450586.04	311582.86	440379.72	170748.92	167266.68
I	366012.28	334559.32	367756.67	310706.48	312348.09	177745.16	175183.31	163711.65	238557.5	312545.76	144103.97	75719.57
J	357916.89	347521.67	280026.25	326405.25	349398.95	161707.28	159641.87	162556.15	274659.68	312294.58	293373.24	112633.84
K	431075.47	407585.33	377315.25	366912.54	531301.22	415762.39	234151.52	283216.18	417423.79	445085.4	252786.23	434519.01
L	415951.74	383664.83	338290.8	325834.48	294151.82	1124071.41	341060.72	295073.38	417703.06	357723	302419.24	1578747.2
M	361161.3	345186.83	331748.46	306283.55	487445.63	849985.26	398723.85	277542.52	369584.67	391280.1	350662.82	1593501.91
N	296898.77	296529.81	268248.23	278819.47	284954.67	928465.49	286307.14	225050.2	301717.23	334078.89	345044.56	1083383.08
O	315658.05	376055.69	299512.21	250713.62	309159.15	498363.69	299947.47	254554.73	414768.17	398852.83	377989.49	424828.06
P	285975.81	318379.8	258985.18	231251.87	290592.91	207111.6	389050.83	198725.09	313586.72	386135.24	432629.54	393772.81
Q	343274.79	332940.85	267684.07	261415.08	276514.36	290506.3	731584.57	231961.91	362358.82	360911.25	209414.92	229735.34
R	354053.39	367884.25	283255.87	276477.64	453439.91	301918.98	698728.87	238533.54	329908.95	396357.78	286206.19	269651.59
S	377446.99	375879.66	371451.58	499529.24	468376.74	327355.19	250017.65	200669.81	337944.81	480642.44	282535.68	199562.48
T	794938.79	820155.69	606866.9	684473.04	504724.55	468480.7	490166.44	433056.07	312420.31	666842.65	399074.97	283152.44
U	645027.67	614200.55	543442.94	593223.86	494651.31	319672.76	641746.37	458039.82	495745.66	524039.73	294328.57	237248.71
V	485057.94	410030.24	321596.06	371712.59	288092.5	184346.26	313008.96	282808.37	338050.74	514672.33	338684.01	308857.08
W	426219.67	405241.73	381111.41	421528.78	261333.6	173955.31	99523.58	373932.5	311099.17	474171.49	377474.16	301722.64
X	291204.97	388346.36	280482.37	270034.63	282593.23	80786	75581.67	117314.18	541596.32	644954.54	413179.15	356217.74
