 	1	2	3	4	5	6	7	8	9	10	11	12
A	33203722.8	25559045.07	39258854.24	6818209.77	5273742.55	15467589.03	7543477.58	54639631.54	8617306.49	8035392.37	3340915.05	6857686.23
B	5651711.21	7288209.54	5432786.57	6418987.93	4166659.01	3981989.2	8518122.15	8033262.97	5726976.22	14279776.39	4755355.64	3795840.16
C	6210476.37	7098268.13	5768349.58	6983241.51	9575521.0	7628584.99	15691877.86	14488394.66	12587103.19	22251412.72	15720318.49	8569804.42
D	5151416.03	8925190.92	9382502.65	4814051.76	4593480.41	10111659.12	10415978.27	10979088.26	19834719.9	25589007.39	24282435.05	10802240.71
E	5725926.12	11473177.12	5608291.52	5756777.37	8705223.36	11898829.87	11225238.1	14090687.59	13891030.4	22447256.24	41611251.12	10835186.94
F	6193254.04	9002026.28	4704552.02	5180882.4	8826359.97	8483623.06	16171825.21	15632374.06	15145188.09	25666261.07	38313454.28	14302235.51
G	6726342.94	13219486.79	8496065.07	14460660.55	19825128.27	14276646.53	17265271.62	15742138.9	12892403.78	27679603.61	35965326.6	13549794.95
H	7966586.2	11991382.44	10782173.61	17109031.34	16286267.77	15126840.03	13407409.91	15811247.05	13824573.37	24820087.13	30036297.37	8985788.55
I	24716903.12	18979127.78	93124649.99	24686964.03	17548571.05	12019869.99	21044331.96	17292926.74	10309326.22	42864477.84	39027518.28	13786887.67
J	18780928.47	21562466.35	24152865.56	17225833.06	24650950.13	13572628.2	16359767.54	17945307.89	13067437.92	31701835.74	47765327.03	31353962.77
K	8196198.72	10101877.44	12215157.56	24779874.28	14589067.4	9103044.97	14101221.35	13282655.18	10432686.43	23186354.92	26946257.05	35403397.06
L	7128270.73	7393365.56	5158849.39	9916204.75	6258207.25	5935087.81	7645797.17	10047528.63	8538258.6	15581116.13	31686023.37	52407111.5
M	6067389.83	6816737.37	4627953.73	8423850.36	10332009.32	6532424.91	7280453.62	10042445.64	8002048.54	19520860.18	50911603.1	60014498.22
N	6422658.63	6283089.76	3748441.0	6053702.57	6376652.8	8685642.36	4941423.54	6874465.55	7576367.39	17620935.89	58885250.75	58752684.6
O	5321949.08	8984517.29	3986299.66	6334196.63	8632801.41	8735339.65	5848619.03	7313775.97	7960289.06	18581223.0	36267216.51	22265977.28
P	8628112.37	5899629.92	3298574.11	4176333.95	8045114.69	6832497.52	5369992.82	7274540.6	7507902.63	13658333.81	30432851.4	21688030.93
Q	6458656.36	5941307.86	2899276.52	3516563.25	4731478.73	8219349.1	5030327.16	5757378.93	6723419.46	10906586.93	40104906.94	22001046.81
R	4910087.15	7068458.03	3222731.31	4499914.73	6751686.0	7719737.73	5635858.72	6431159.39	7441928.24	13069058.36	35559844.4	19910898.35
S	7684402.83	9377088.67	6226009.91	10064409.0	10188848.97	13037894.38	10577199.33	10410441.92	21385243.3	26247860.74	33602657.62	26339166.94
T	13133623.68	12187710.23	9525166.22	14279522.13	15609039.64	18354614.67	17771645.03	13679681.81	20558293.99	30848010.48	39315353.96	28569503.12
U	9513467.5	8947501.89	7130828.7	8265663.84	7790238.41	11376404.63	12330115.29	13217872.77	15098468.82	22615820.84	25818557.59	17540287.91
V	8313878.12	9201456.67	6643715.42	8443574.89	10341105.38	9985158.01	9858213.21	8631908.84	11050252.98	19912328.58	46377456.53	17136961.5
W	8377148.51	11865708.87	7156528.84	7488197.59	11305924.28	37117910.92	9260651.11	12774222.17	13374214.81	22701157.94	40710307.0	21858729.52
X	8379926.89	10223582.92	8986897.06	7437732.42	24377386.28	8179271.03	12242910.95	9593392.0	14487405.54	28045892.35	54980990.46	18507071.02
