	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	129073026.1	122460049.91	112775801.24	101676018.04	91040564.67	80727991.86	87028503.63	98236695.58	104481941.68	103780985.74	106626914.65	230429052.36	102314319.57	104696796.78	122694657.03	128761247.54	100543501.16	115691932.22	107290907.26	94291944.53	101196249.25	101196249.25	112845501.89
-4	117848640.17	115897983.45	112358444.17	102340529.8	70893619.63	58801219.13	73358511.47	74545338.5	87087183.71	83857650.76	93146727.24	193249637.52	84641757.02	80395140.76	87235761.26	119168115.93	99693332.84	80489878.65	92611584.75	111410940.88	82959770.55	82959770.55	106568738.43
-3	88485598.72	85073818.6	74878427.07	76607063.96	84669918.93	79133215.2	58944617.45	54961503.86	65203147.7	72507744.89	84435779.2	161424451.06	69634314.41	79806010.85	83310840.02	95381023.97	73083260.13	96621180.41	87778823.44	114487176.45	67088513.02	67088513.02	91936211.65
-2	90012803.6	86343478.85	88608801.86	79354820.47	91913383.53	85799033.39	75319994.89	87218836.51	74158098.2	70622320.03	59352121.02	164873343.97	58384315.97	95368231.2	80908032.74	96373354.86	84293986.19	77204764.84	74622057.37	83002364.54	67773287.43	67773287.43	85925290.83
-1	63358117.61	20964470.6	58550400.68	62869348.44	38381385.51	54592228.92	91936104.58	133298452.44	98600134.94	54156831.19	64748765.83	200947568.77	36746211.63	61406973.74	21188779.77	20754261.22	40141151.33	78533309.32	85279147.98	57297604.95	47383912.36	47383912.36	218082775.32
1	18971806.81	31710106.3	89310442.26	73757319.03	59554209.08	60696274.91	91321237.21	102185357.33	79653120.53	135414248.3	66596823.59	121701076.95	60138850.09	73880311.61	25519564.23	33850957.37	73436645.2	30245615.21	29984097.64	91023611.4	73162655.5	73162655.5	86619071.39
2	62253050.74	26859636.82	52638270.42	65949166.24	51674563.44	45443152.74	70835122.96	78248544.88	96164882.91	94466626.53	77343069.69	116657465.27	150601408.83	50761527.64	65442841.52	97276632.21	56772335.03	55785209.71	19085039.5	47462018.66	27583711.13	27583711.13	67583031.57
3	33308528.26	31138160.83	36734705.8	116294645.76	36762456.37	59707214.55	161133523.49	215103604.78	85470975.64	124178133.58	108200649.13	77990373.9	120204740.29	79626764.91	28042669.91	46685116.92	28974331.45	34703307.64	14508955.56	14408730.02	11834940.64	11834940.64	23977001.02
4	71061653.62	60947684.97	57361471.63	78063968.64	66074609.03	63723862.09	75552071.91	75231310.08	68563194.85	87830519.35	101608791.47	73580241.27	103018622.88	88627681.06	74467365.34	99214952.67	84170881.86	64765468.59	54612308.33	65968042.63	30711103.05	30711103.05	78208702.99
5	218637002.05	109959596.62	116446646.38	160429761.63	100361316.97	138329620.12	137569415.43	202731053.08	220834892.97	196014504.06	310693372.69	228667635.18	167937055.06	114489753.56	93991944.11	124970874.24	85382030.66	99045444.37	62546670.9	57846230.3	46249072.27	46249072.27	43909511.52
