query,assignedType,distance,reference,species
test1,unassigned,,AF343620.1_A90,u
test2,unassigned,,AF343654.1_B27,u
test5,unassigned,,AY040239.1_B93,u
test6,unassigned,,AF343653.1_B26,u
test7,unassigned,,AF343611.1_A59,u
test8,unassigned,,AF343651.1_B5,u
test9,unassigned,,AF343606.1_A81,u
test10,unassigned,,AY040235.1_A46,u
test11,unassigned,,AY016406.1_A28,u
test12,unassigned,,AY016404.1_B42,u
test13,unassigned,,AF343651.1_B5,u
test14,unassigned,,AY040239.1_B93,u
test16,unassigned,,JF781500.1_B101,u
test18,unassigned,,AF343651.1_B5,u
test19,unassigned,,AF343655.1_B4,u
test20,unassigned,,AF343617.1_A25,u
test21,unassigned,,AF343617.1_A25,u
test24,unassigned,,AF343641.1_A40,u
test25,unassigned,,AF343592.1_A53,u
test26,unassigned,,AF343655.1_B4,u
test28,unassigned,,AF343651.1_B5,u
test31,unassigned,,AF343653.1_B26,u
test32,unassigned,,AF343641.1_A40,u
test33,unassigned,,AF343617.1_A25,u
test34,unassigned,,AF343615.1_A29,u
test36,unassigned,,AF343651.1_B5,u
test39,unassigned,,AF343651.1_B5,u
test42,unassigned,,AF343651.1_B5,u
test43,unassigned,,AF343641.1_A40,u
test46,unassigned,,JF781500.1_B101,u
test53,unassigned,,AF343655.1_B4,u
test54,unassigned,,AF343653.1_B26,u
test56,unassigned,,AF343615.1_A29,u
test57,unassigned,,AF343615.1_A29,u
test58,unassigned,,L24917.1_A16,u
test59,unassigned,,AF343626.1_A21,u
test61,unassigned,,AF343655.1_B4,u
test65,unassigned,,AF343617.1_A25,u
test67,unassigned,,AF343655.1_B4,u
test68,unassigned,,AF343617.1_A25,u
test71,unassigned,,AF343651.1_B5,u
test73,unassigned,,AF343615.1_A29,u
test76,unassigned,,AF343655.1_B4,u
test77,unassigned,,AF343592.1_A53,u
test79,unassigned,,AF343592.1_A53,u
test82,unassigned,,AF343606.1_A81,u
test83,unassigned,,AF343617.1_A25,u
test84,unassigned,,AF343592.1_A53,u
test85,unassigned,,JN990699.1_A105,u
test86,unassigned,,AF343592.1_A53,u
test92,unassigned,,AF343606.1_A81,u
test94,unassigned,,JN990699.1_A105,u
test97,unassigned,,AF343644.1_A20,u
test99,unassigned,,AF343592.1_A53,u
test110,unassigned,,AF343605.1_A9,u
test112,unassigned,,AF343584.1_A32,u
test113,unassigned,,X02316.1_A2,u
test114,unassigned,,AF343584.1_A32,u
test115,unassigned,,X02316.1_A2,u
test116,unassigned,,AF343617.1_A25,u
test119,unassigned,,AF343652.1_B99,u
test122,unassigned,,AF343652.1_B99,u
test128,unassigned,,JQ245971.1_A106,u
test130,unassigned,,AF343602.1_A73,u
test132,unassigned,,AF343617.1_A25,u
test133,unassigned,,AF343606.1_A81,u
test135,unassigned,,AF343618.1_A62,u
test137,unassigned,,JN990699.1_A105,u
test138,unassigned,,AF343606.1_A81,u
test140,unassigned,,AF343607.1_A47,u
test141,unassigned,,AF343620.1_A90,u
test142,unassigned,,AF343606.1_A81,u
test143,unassigned,,AF343596.1_A30,u
test144,unassigned,,AF343584.1_A32,u
test145,unassigned,,AF343651.1_B5,u
test146,unassigned,,AF343651.1_B5,u
test147,unassigned,,AF343606.1_A81,u
test152,unassigned,,AF343617.1_A25,u
test154,unassigned,,AF343620.1_A90,u
test155,unassigned,,AF343620.1_A90,u
test156,unassigned,,AF343584.1_A32,u
test158,unassigned,,AF343584.1_A32,u
test159,unassigned,,AF343606.1_A81,u
test160,unassigned,,AF343584.1_A32,u
test161,unassigned,,AF343606.1_A81,u
test162,unassigned,,AF343651.1_B5,u
test163,unassigned,,AF343638.1_A94,u
test164,unassigned,,AF343620.1_A90,u
test165,unassigned,,AF343596.1_A30,u
test168,unassigned,,AF343584.1_A32,u
test169,unassigned,,JN990699.1_A105,u
test171,unassigned,,JN990699.1_A105,u
test173,unassigned,,JN990699.1_A105,u
test174,unassigned,,AF343651.1_B5,u
test175,unassigned,,AF343618.1_A62,u
test177,unassigned,,JN990699.1_A105,u
test178,unassigned,,AF343617.1_A25,u
test179,unassigned,,AF343584.1_A32,u
test180,unassigned,,AF343606.1_A81,u
test181,unassigned,,AF343584.1_A32,u
test182,unassigned,,AF343584.1_A32,u
test183,unassigned,,AF343606.1_A81,u
test185,unassigned,,AF343651.1_B5,u
test186,unassigned,,AF343618.1_A62,u
test187,unassigned,,AF343618.1_A62,u
test189,unassigned,,AF343617.1_A25,u
test190,unassigned,,AF343606.1_A81,u
test191,unassigned,,AF343617.1_A25,u
test192,unassigned,,AF343584.1_A32,u
test193,unassigned,,AF343620.1_A90,u
test196,unassigned,,AF343655.1_B4,u
test197,unassigned,,AF343618.1_A62,u
test198,unassigned,,AF343655.1_B4,u
test199,unassigned,,AF343625.1_A33,u
test200,unassigned,,AF343620.1_A90,u
test201,unassigned,,JN855991.1_A108,u
test202,unassigned,,EU752427.1_C25,u
test203,unassigned,,EF077264.1_C12,u
test204,unassigned,,AF343651.1_B5,u
test205,unassigned,,JF781500.1_B101,u
test208,unassigned,,KP282614.1_C54,u
test209,unassigned,,GQ223134.1_C28,u
test211,unassigned,,L24917.1_A16,u
test212,unassigned,,AY040232.1_A43,u
test213,unassigned,,AY040232.1_A43,u
test214,unassigned,,AF343652.1_B99,u
test215,unassigned,,GQ223134.1_C28,u
test216,unassigned,,GQ223134.1_C28,u
test217,unassigned,,JN855971.1_A107,u
test218,unassigned,,JN855971.1_A107,u
test219,unassigned,,AF343652.1_B99,u
test220,unassigned,,AY040232.1_A43,u
test221,unassigned,,AY016400.1_B48,u
test222,unassigned,,JN855991.1_A108,u
test223,unassigned,,GQ223134.1_C28,u
test224,unassigned,,AY040232.1_A43,u
test225,unassigned,,JN855971.1_A107,u
test226,unassigned,,KP736993.1_C53,u
test227,unassigned,,AY016400.1_B48,u
test228,unassigned,,AY016404.1_B42,u
test229,unassigned,,AY016400.1_B48,u
test231,unassigned,,GQ223227.1_C8,u
test232,unassigned,,AY016400.1_B48,u
test233,unassigned,,AY016400.1_B48,u
test236,unassigned,,AF343652.1_B99,u
test237,unassigned,,JN990699.1_A105,u
test239,unassigned,,AY016400.1_B48,u
test240,unassigned,,AF343651.1_B5,u
test241,unassigned,,EF077256.1_C36,u
test243,unassigned,,EF077264.1_C12,u
test246,unassigned,,EF077264.1_C12,u
test249,unassigned,,AF343655.1_B4,u
test250,unassigned,,GQ223227.1_C8,u
test251,unassigned,,EU697850.1_C19,u
test254,unassigned,,EF077264.1_C12,u
test255,unassigned,,EU697850.1_C19,u
test257,unassigned,,AF343652.1_B99,u
test258,unassigned,,AF343652.1_B99,u
test261,unassigned,,EU081807.1_C43,u
test262,unassigned,,AF343655.1_B4,u
test263,unassigned,,EU081807.1_C43,u
test264,unassigned,,AF343652.1_B99,u
