	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.056	0.0704	0.0516	0.0464	0.0522	0.049	0.0397	0.0448	0.0458	0.0468	0.0534	0.0534	0.0538	0.067	0.0738	0.0744	0.0529	0.0585	0.0605	0.0494	0.0472	0.0472	0.0507
-4	0.0651	0.0665	0.063	0.0578	0.0474	0.04	0.042	0.043	0.045	0.0451	0.0527	0.0527	0.0623	0.0665	0.063	0.0698	0.0573	0.0522	0.0556	0.0633	0.0491	0.0491	0.0613
-3	0.0514	0.0604	0.0519	0.0597	0.063	0.0602	0.0368	0.0387	0.0381	0.043	0.0473	0.0473	0.0506	0.0644	0.0564	0.0621	0.0495	0.0711	0.07	0.0848	0.0612	0.0612	0.0666
-2	0.0602	0.0607	0.0527	0.0534	0.0636	0.0522	0.0418	0.0377	0.0433	0.0375	0.0357	0.0357	0.0387	0.071	0.066	0.0689	0.0622	0.0632	0.0658	0.0789	0.0558	0.0558	0.0695
-1	0.0453	0.0281	0.0429	0.0465	0.0378	0.0447	0.0539	0.0683	0.0522	0.0383	0.0549	0.0549	0.0598	0.0836	0.0278	0.0275	0.058	0.0721	0.1268	0.0781	0.0696	0.0696	0.1377
1	0.0617	0.0192	0.0537	0.0504	0.0407	0.0501	0.0861	0.074	0.0516	0.059	0.0939	0.0939	0.0957	0.1023	0.0306	0.0392	0.0529	0.0262	0.0201	0.043	0.0405	0.0405	0.1527
2	0.034	0.0196	0.0325	0.0491	0.0369	0.046	0.0568	0.0515	0.0688	0.0784	0.0871	0.0871	0.1232	0.0539	0.0291	0.0421	0.0433	0.056	0.055	0.0856	0.0792	0.0792	0.1567
3	0.037	0.0275	0.0308	0.0792	0.0303	0.0409	0.0897	0.1052	0.1091	0.1039	0.0852	0.0852	0.102	0.0549	0.0168	0.0306	0.0431	0.0271	0.0373	0.0286	0.0426	0.0426	0.0342
4	0.0645	0.0545	0.0471	0.063	0.0537	0.051	0.0484	0.049	0.0492	0.056	0.059	0.059	0.0634	0.0635	0.0482	0.0772	0.0539	0.0481	0.0517	0.0617	0.0406	0.0406	0.0637
5	0.0818	0.0731	0.0557	0.063	0.0568	0.0546	0.0581	0.0464	0.0515	0.0544	0.0551	0.0551	0.0543	0.0524	0.0455	0.0491	0.0462	0.0548	0.0562	0.054	0.0434	0.0434	0.0464
